Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
HA-LWK,,,,Airbus,A320,2,5,,,True,True,,
OK-TWI,,,,Cirrus,SR20,1,5,,,False,True,,
OK-HAD,,,,Cessna,C152,1,5,,,False,False,,
HA-LWO,,,,Airbus,A320,2,5,,,True,True,,
HA-LWP,,,,Airbus,A320,2,5,,,True,True,,
OK-RTA,,,,Cirrus,SR22,1,5,,,True,True,,
UK-GE-547,,,,Airbus,A320,2,5,,,False,False,,
HA-LWN,,,,Airbus,A320,2,5,,,True,True,,
HA-LWF,,,,Airbus,A320,2,5,,,True,True,,
CZ-08B,,,,Airbus,A320,2,5,,,False,False,,
NL-203Z,,,,Airbus,A320,2,5,,,False,False,,
TC-JTD,,,,Airbus,A321,2,5,,,False,False,,
TC-JLM,,,,Airbus,A319,2,5,,,False,False,,
TC-JUB,,,,Airbus,A319,2,5,,,False,False,,
TC-JUI,,,,Airbus,A320,2,5,,,False,False,,
TC-JPG,,,,Airbus,A320,2,5,,,False,False,,
TC-JPT,,,,Airbus,A320,2,5,,,False,False,,
TC-JTE,,,,Airbus,A321,2,5,,,False,False,,
TC-JRJ,,,,Airbus,A321,2,5,,,False,False,,
TC-JRU,,,,Airbus,A321,2,5,,,False,False,,
TC-JSP,,,,Airbus,A321,2,5,,,False,False,,
TC-JPK,,,,Airbus,A320,2,5,,,False,False,,
HA-LYC,,,,Airbus,A320,2,5,,,True,True,,
HA-LWT,,,,Airbus,A320,2,5,,,True,True,,
HA-LYB,,,,Airbus,A320,2,5,,,True,True,,
HA-LWQ,,,,Airbus,A320,2,5,,,True,True,,
HA-LWM,,,,Airbus,A320,2,5,,,True,True,,
HA-LWY,,,,Airbus,A320,2,5,,,True,True,,
HA-LWE,,,,Airbus,A320,2,5,,,True,True,,
HA-LWJ,,,,Airbus,A320,2,5,,,True,True,,
HA-LWV,,,,Airbus,A320,2,5,,,True,True,,
HA-LYE,,,,Airbus,A320,2,5,,,True,True,,
Wiz-320,,,,Airbus,A320,2,5,,,False,False,,
CZ-06A,,,,Airbus,A320,2,5,,,False,False,,
SIM,,,,Airbus,A320,2,5,,,False,False,,
OK-OKB,,,,Cessna,C172,1,5,,,False,False,,
N309MM,,,,Cessna,C172,1,5,,,False,False,,
N714UY,,,,Cessna,C152,1,5,,,False,False,,
HA-LYJ,,,,Airbus,A320,2,5,,,False,False,,
OK-OKA,,,,Cessna,C152,1,5,,,False,False,,
EU-A0046,,,,Airbus,A320,2,5,,,True,True,,
EU-AT1A1O91,,,,Airbus,A320,2,5,,,True,True,,
TC-JMH,,,,Airbus,A321,2,5,,,False,False,,
TC-JLS,,,,Airbus,A319,2,5,,,False,False,,
TC-JRO,,,,Airbus,A321,2,5,,,False,False,,
TC-JSM,,,,Airbus,A321,2,5,,,False,False,,
TC-JRM,,,,Airbus,A321,2,5,,,False,False,,
TC-JPI,,,,Airbus,A320,2,5,,,False,False,,
TC-JRR,,,,Airbus,A321,2,5,,,False,False,,
TC-JRP,,,,Airbus,A321,2,5,,,False,False,,
TC-JUF,,,,Airbus,A320,2,5,,,False,False,,
TC-JLV,,,,Airbus,A319,2,5,,,False,False,,
TC-JPR,,,,Airbus,A320,2,5,,,False,False,,
TC-JUE,,,,Airbus,A320,2,5,,,False,False,,
TC-JPP,,,,Airbus,A320,2,5,,,False,False,,
TC-JPB,,,,Airbus,A320,2,5,,,False,False,,
TC-JPF,,,,Airbus,A320,2,5,,,False,False,,
TC-JLP,,,,Airbus,A319,2,5,,,False,False,,
TC-JAI,,,,Airbus,A320,2,5,,,False,False,,
TC-JLR,,,,Airbus,A319,2,5,,,False,False,,
TC-JSB,,,,Airbus,A321,2,5,,,False,False,,
TC-JPJ,,,,Airbus,A320,2,5,,,False,False,,
TC-JPH,,,,Airbus,A320,2,5,,,False,False,,
TC-JST,,,,Airbus,A321,2,5,,,False,False,,
TC-JMM,,,,,A320,2,5,,,False,False,,
TC-JBI,,,,Airbus,A320,2,5,,,False,False,,
TC-JUD,,,,Airbus,A319,2,5,,,False,False,,
TC-JSF,,,,Airbus,A321,2,5,,,False,False,,
TC-JUJ,,,,Airbus,A320,2,5,,,False,False,,
TC-JRH,,,,Airbus,A321,2,5,,,False,False,,
TC-JLN,,,,Airbus,A319,2,5,,,False,False,,
TC-JPO,,,,Airbus,A320,2,5,,,False,False,,
TC-JTA,,,,Airbus,A321,2,5,,,False,False,,
TC-JPU,,,,Airbus,A320,2,5,,,False,False,,
TC-JSA,,,,Airbus,A321,2,5,,,False,False,,
TC-JMJ,,,,Airbus,A321,2,5,,,False,False,,
TC-JSU,,,,Airbus,A321,2,5,,,False,False,,
TC-JSL,,,,Airbus,A321,2,5,,,False,False,,
TC-JPA,,,,Airbus,A320,2,5,,,False,False,,
TC-JRZ,,,,Airbus,A321,2,5,,,False,False,,
TC-JUK,,,,Airbus,A320,2,5,,,False,False,,
TC-JRT,,,,Airbus,A321,2,5,,,False,False,,
TC-JMK,,,,Airbus,A321,2,5,,,False,False,,
TC-JPS,,,,Airbus,A320,2,5,,,False,False,,
SIMA319,,,,Airbus,A319,2,5,,,False,False,,
TC-JLZ,,,,Airbus,A319,2,5,,,False,False,,
TC-JPM,,,,Airbus,A320,2,5,,,False,False,,
TC-JSZ,,,,Airbus,A321,2,5,,,False,False,,
TC-JSV,,,,Airbus,A321,2,5,,,False,False,,
TC-JRA,,,,Airbus,A321,2,5,,,False,False,,
TC-JRL,,,,Airbus,A321,2,5,,,False,False,,
TC-JML,,,,Airbus,A321,2,5,,,False,False,,
TC-JPY,,,,Airbus,A320,2,5,,,False,False,,
TC-JSO,,,,Airbus,A321,2,5,,,False,False,,
TC-JSS,,,,Airbus,A321,2,5,,,False,False,,
SIMA320,,,,Airbus,A320,2,5,,,False,False,,
TC-JRC,,,,Airbus,A321,2,5,,,False,False,,
TC-JLY,,,,Airbus,A319,2,5,,,False,False,,
TC-JRY,,,,Airbus,A321,2,5,,,False,False,,
TC-JLU,,,,Airbus,A319,2,5,,,False,False,,
TC-JUG,,,,Airbus,A320,2,5,,,False,False,,
TC-JMI,,,,Airbus,A321,2,5,,,False,False,,
TC-JSI,,,,Airbus,A321,2,5,,,False,False,,
TC-JRN,,,,Airbus,A321,2,5,,,False,False,,
TC-JSH,,,,Airbus,A321,2,5,,,False,False,,
TC-JPD,,,,Airbus,A320,2,5,,,False,False,,
TC-JSY,,,,Airbus,A321,2,5,,,False,False,,
TC-JRV,,,,Airbus,A321,2,5,,,False,False,,
