Aircraft Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AircraftID,EquipmentType,TypeCode,Year,Make,Model,Category,Class,GearType,EngineType,Complex,HighPerformance,Pressurized,TAA
2008-12-29,HA-LPQ,,,,,,,,,,148,0,148,148,,148,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS17
2008-12-29,HA-LPQ,,,,,,,,,,151,0,151,151,,151,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-01-03,HA-LPR,,,,,,,,,,86,0,86,86,,86,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,LOC/DME24
2009-01-03,HA-LPN,,,,,,,,,,73,0,73,0,,73,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME 29
2009-01-04,HA-LPN,,,,,,,,,,125,0,125,125,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-01-04,HA-LPN,,,,,,,,,,120,0,120,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-04,HA-LPN,,,,,,,,,,135,0,135,0,,135,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-01-04,HA-LPN,,,,,,,,,,113,0,113,5,,113,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-06,HA-LPM,,,,,,,,,,127,0,127,60,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS16L
2009-01-06,HA-LPM,,,,,,,,,,134,0,134,134,,134,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-06,HA-LPM,,,,,,,,,,115,0,115,115,,115,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS20
2009-01-06,HA-LPM,,,,,,,,,,118,0,118,118,,118,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-07,HA-LPJ,,,,,,,,,,98,0,98,98,,98,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS36
2009-01-07,HA-LPJ,,,,,,,,,,82,0,82,82,,82,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-07,HA-LPJ,,,,,,,,,,135,0,135,135,,135,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS31
2009-01-07,HA-LPJ,,,,,,,,,,132,0,132,132,,132,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-14,HA-LPE,,,,,,,,,,134,0,134,111,,134,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-01-14,HA-LPL,,,,,,,,,,123,0,123,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-14,HA-LPL,,,,,,,,,,120,0,120,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-01-14,HA-LPL,,,,,,,,,,121,0,121,0,,121,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-01-15,HA-LPI,,,,,,,,,,86,0,86,86,,86,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,HEBDA A.,SELF,,,,,,,,,,,,,,,,,NDB01
2009-01-15,HA-LPI,,,,,,,,,,74,0,74,74,,74,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,HEBDA A.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-01-15,HA-LPI,,,,,,,,,,163,0,163,163,,163,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,HEBDA A.,SELF,,,,,,,,,,,,,,,,,ILS17
2009-01-15,HA-LPI,,,,,,,,,,137,0,137,137,,137,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,HEBDA A.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-01-25,HA-LPQ,,,,,,,,,,85,0,85,85,,85,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS36
2009-01-25,HA-LPQ,,,,,,,,,,87,0,87,87,,87,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-25,HA-LPQ,,,,,,,,,,133,0,133,133,,133,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS13
2009-01-25,HA-LPQ,,,,,,,,,,124,0,124,124,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-26,HA-LPO,,,,,,,,,,91,0,91,91,,91,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS19
2009-01-26,HA-LPO,,,,,,,,,,76,0,76,76,,76,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-01-26,HA-LPO,,,,,,,,,,156,0,156,156,,156,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME17 cat II
2009-01-26,HA-LPO,,,,,,,,,,142,0,142,142,,142,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,visual 11
2009-01-29,HA-LPB,,,,,,,,,,75,0,75,0,,75,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS14L
2009-01-30,HA-LPB,,,,,,,,,,75,0,75,75,,75,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-02-03,HA-LPI,,,,,,,,,,69,0,69,69,,69,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,ILS/DME06
2009-02-03,HA-LPI,,,,,,,,,,45,0,45,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-02-04,HA-LPN,,,,,,,,,,120,0,120,56,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME08
2009-02-04,HA-LPN,,,,,,,,,,117,0,117,0,,117,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS29
2009-02-04,HA-LPN,,,,,,,,,,122,0,122,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME08
2009-02-04,HA-LPN,,,,,,,,,,112,0,112,0,,112,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-02-23,HA-LPM,,,,,,,,,,116,0,116,0,,116,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-02-23,HA-LPD,,,,,,,,,,119,0,119,0,,119,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-02-23,HA-LPD,,,,,,,,,,113,0,113,0,,113,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-02-23,HA-LPD,,,,,,,,,,120,0,120,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-02-24,HA-LPD,,,,,,,,,,133,0,133,0,,133,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME16R
2009-02-24,HA-LPD,,,,,,,,,,183,0,183,183,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME33 - diversion due to fog in EPPO
2009-02-25,HA-LPD,,,,,,,,,,47,0,47,47,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS/DME29 - split duty
2009-02-26,HA-LPI,,,,,,,,,,128,0,128,128,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS20
2009-02-26,HA-LPI,,,,,,,,,,112,0,112,112,,112,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-02-27,SP-RBA,,,,,,,,,,64,64,0,0,,64,,,,2,2,0,0,2,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,SELF,KOWALSKI F.,,,,,,,,,,,,,,,,,SEP(A) renewal part 1
2009-02-27,HA-LPQ,,,,,,,,,,90,0,90,69,,90,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,NDB01
2009-02-27,HA-LPQ,,,,,,,,,,76,0,76,76,,76,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-02-27,HA-LPQ,,,,,,,,,,171,0,171,171,,171,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS/DME17
2009-02-27,HA-LPQ,,,,,,,,,,146,0,146,146,,146,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-02-28,SP-RBA,,,,,,,,,,35,35,0,0,,0,,,,3,3,0,0,3,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,SELF,KOWALSKI F.,,,,,,,,,,,,,,,,,SEP(A) renewal part 2
2009-03-05,N8292A,,,,,,,,,,60,60,0,0,,0,,,,1,1,0,0,1,60,0,0.0,0.0,,,0,,,,,,,0,,,,,,SELF,OOSTERLING P.,,,,,,,,,,,,,,,,,BFR - Peter Oosterling
2009-03-07,UK-GE-322,,,,,,,,,,180,0,0,0,,0,,,,0,0,0,0,0,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KRAPEZ R.,SELF,,,,,,,,,,,,,,,,,LVO refresher/narrow runways
2009-03-08,UK-GE-322,,,,,,,,,,180,0,0,0,,0,,,,0,0,0,0,0,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KRAPEZ R.,SELF,,,,,,,,,,,,,,,,,ATPL(A) skill test/LPC/OPC
2009-03-26,HA-LPL,,,,,,,,,,124,0,124,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-03-26,HA-LPB,,,,,,,,,,111,0,111,0,,111,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-03-28,HA-LPI,,,,,,,,,,132,0,132,0,,132,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS16L
2009-03-28,HA-LPI,,,,,,,,,,125,0,125,88,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-03-28,HA-LPI,,,,,,,,,,120,0,120,120,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS02
2009-03-28,HA-LPI,,,,,,,,,,110,0,110,110,,110,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-03-29,HA-LPC,,,,,,,,,,85,0,85,0,,85,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS19
2009-03-29,HA-LPC,,,,,,,,,,86,0,86,23,,86,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-03-29,HA-LPC,,,,,,,,,,135,0,135,135,,135,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS17
2009-03-29,HA-LPC,,,,,,,,,,145,0,145,145,,145,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-03-31,HA-LPI,,,,,,,,,,108,0,108,0,,108,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,DALRYMPLE N.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-03-31,HA-LPH,,,,,,,,,,117,0,117,0,,117,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,DALRYMPLE N.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-03-31,HA-LPH,,,,,,,,,,56,0,56,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,DALRYMPLE N.,SELF,,,,,,,,,,,,,,,,,VOR06
2009-03-31,HA-LPH,,,,,,,,,,66,0,66,0,,66,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,DALRYMPLE N.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-06,HA-LPC,,,,,,,,,,127,0,127,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS08
2009-04-06,HA-LPM,,,,,,,,,,120,0,120,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,VISUAL11
2009-04-06,HA-LPM,,,,,,,,,,118,0,118,0,,118,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS08
2009-04-06,HA-LPM,,,,,,,,,,120,0,120,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-04-07,HA-LPD,,,,,,,,,,120,0,120,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS16L
2009-04-07,HA-LPD,,,,,,,,,,135,0,135,18,,135,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-04-07,HA-LPD,,,,,,,,,,137,0,137,137,,137,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS31
2009-04-07,HA-LPD,,,,,,,,,,125,0,125,125,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-08,HA-LPK,,,,,,,,,,80,0,80,0,,80,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS36
2009-04-08,HA-LPK,,,,,,,,,,91,0,91,34,,91,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-08,HA-LPK,,,,,,,,,,123,0,123,123,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,ILS20
2009-04-08,HA-LPK,,,,,,,,,,106,0,106,106,,106,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ZELEI L.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-11,HA-LPN,,,,,,,,,,121,0,121,0,,121,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,ILS16L; annual route check
2009-04-11,HA-LPN,,,,,,,,,,126,0,126,19,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-11,HA-LPN,,,,,,,,,,129,0,129,129,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,ILS31
2009-04-11,HA-LPN,,,,,,,,,,127,0,127,127,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-15,HA-LPR,,,,,,,,,,91,0,91,0,,91,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS36
2009-04-15,HA-LPR,,,,,,,,,,95,0,95,18,,95,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-15,HA-LPR,,,,,,,,,,125,0,125,125,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS02
2009-04-15,HA-LPR,,,,,,,,,,119,0,119,119,,119,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-17,HA-LPT,,,,,,,,,,120,0,120,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-04-17,HA-LPK,,,,,,,,,,125,0,125,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,VISUAL 11
2009-04-17,HA-LPK,,,,,,,,,,110,0,110,0,,110,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-04-17,HA-LPK,,,,,,,,,,124,0,124,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,MARCHELEWSKI P.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-19,HA-LPL,,,,,,,,,,118,0,118,0,,118,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ORLOWSKI N.,SELF,,,,,,,,,,,,,,,,,ILS08 autoloand
2009-04-19,HA-LPR,,,,,,,,,,135,0,135,0,,135,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ORLOWSKI N.,SELF,,,,,,,,,,,,,,,,,VISUAL 11
2009-04-19,HA-LPR,,,,,,,,,,120,0,120,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ORLOWSKI N.,SELF,,,,,,,,,,,,,,,,,ILS08 raw data w/o a/thrust
2009-04-19,HA-LPR,,,,,,,,,,115,0,115,0,,115,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,ORLOWSKI N.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-20,HA-LPI,,,,,,,,,,84,0,84,0,,84,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,ILS18
2009-04-20,HA-LPI,,,,,,,,,,75,0,75,30,,75,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,VOR/DME11
2009-04-20,HA-LPI,,,,,,,,,,107,0,107,107,,107,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,ILS20
2009-04-20,HA-LPI,,,,,,,,,,110,0,110,110,,110,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,visual 11
2009-05-12,HA-LPB,,,,,,,,,,126,0,126,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME08
2009-05-12,HA-LPB,,,,,,,,,,117,0,117,0,,117,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME26
2009-05-13,HA-LPT,,,,,,,,,,125,0,125,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME08
2009-05-13,HA-LPS,,,,,,,,,,120,0,120,0,,0,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,visual 29
2009-05-13,HA-LPS,,,,,,,,,,130,0,130,0,,130,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME08
2009-05-13,HA-LPS,,,,,,,,,,110,0,110,0,,110,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,KARPINSKI W.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-05-15,HA-LPO,,,,,,,,,,82,0,82,0,,82,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,visual 18
2009-05-15,HA-LPO,,,,,,,,,,84,0,84,0,,84,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,visual 29
2009-05-15,HA-LPO,,,,,,,,,,109,0,109,109,,109,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,ILS20
2009-05-15,HA-LPO,,,,,,,,,,118,0,118,118,,118,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,ILS/DME29
2009-05-17,HA-LPA,,,,,,,,,,85,0,85,0,,85,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,visual 01
2009-05-17,HA-LPA,,,,,,,,,,80,0,80,0,,80,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,"visual 11, displaced threshold"
2009-05-17,HA-LPA,,,,,,,,,,163,0,163,128,,163,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,ILS/DME02
2009-05-17,HA-LPA,,,,,,,,,,140,0,140,140,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,VUGRINEC T.,SELF,,,,,,,,,,,,,,,,,ILS/DME29 autoland
2009-05-22,HA-LPR,,,,,,,,,,87,0,87,0,,87,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS36
2009-05-22,HA-LPR,,,,,,,,,,89,0,89,0,,89,,,,1,1,0,0,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS29
2009-05-22,HA-LPR,,,,,,,,,,122,0,122,122,,0,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,ILS20
2009-05-22,HA-LPR,,,,,,,,,,104,0,104,104,,104,,,,0,0,1,1,1,0,0,0.0,0.0,,,0,,,,,,,0,,,,,,RUTU I.,SELF,,,,,,,,,,,,,,,,,
